"","country","continent","year","lifeExp","pop","gdpPercap","named"
"1","Algeria","Africa",1952,43.077,9279525,2449.008185,TRUE
"2","Algeria","Africa",1957,45.685,10270856,3013.976023,TRUE
"3","Algeria","Africa",1962,48.303,11000948,2550.81688,TRUE
"4","Algeria","Africa",1967,51.407,12760499,3246.991771,TRUE
"5","Algeria","Africa",1972,54.518,14760787,4182.663766,TRUE
"6","Algeria","Africa",1977,58.014,17152804,4910.416756,TRUE
"7","Algeria","Africa",1982,61.368,20033753,5745.160213,TRUE
"8","Algeria","Africa",1987,65.799,23254956,5681.358539,TRUE
"9","Algeria","Africa",1992,67.744,26298373,5023.216647,TRUE
"10","Algeria","Africa",1997,69.152,29072015,4797.295051,TRUE
"11","Algeria","Africa",2002,70.994,31287142,5288.040382,TRUE
"12","Algeria","Africa",2007,72.301,33333216,6223.367465,TRUE
"13","Angola","Africa",1952,30.015,4232095,3520.610273,TRUE
"14","Angola","Africa",1957,31.999,4561361,3827.940465,TRUE
"15","Angola","Africa",1962,34,4826015,4269.276742,TRUE
"16","Angola","Africa",1967,35.985,5247469,5522.776375,TRUE
"17","Angola","Africa",1972,37.928,5894858,5473.288005,TRUE
"18","Angola","Africa",1977,39.483,6162675,3008.647355,TRUE
"19","Angola","Africa",1982,39.942,7016384,2756.953672,TRUE
"20","Angola","Africa",1987,39.906,7874230,2430.208311,TRUE
"21","Angola","Africa",1992,40.647,8735988,2627.845685,TRUE
"22","Angola","Africa",1997,40.963,9875024,2277.140884,TRUE
"23","Angola","Africa",2002,41.003,10866106,2773.287312,TRUE
"24","Angola","Africa",2007,42.731,12420476,4797.231267,TRUE
"25","Benin","Africa",1952,38.223,1738315,1062.7522,TRUE
"26","Benin","Africa",1957,40.358,1925173,959.6010805,TRUE
"27","Benin","Africa",1962,42.618,2151895,949.4990641,TRUE
"28","Benin","Africa",1967,44.885,2427334,1035.831411,TRUE
"29","Benin","Africa",1972,47.014,2761407,1085.796879,TRUE
"30","Benin","Africa",1977,49.19,3168267,1029.161251,TRUE
"31","Benin","Africa",1982,50.904,3641603,1277.897616,TRUE
"32","Benin","Africa",1987,52.337,4243788,1225.85601,TRUE
"33","Benin","Africa",1992,53.919,4981671,1191.207681,TRUE
"34","Benin","Africa",1997,54.777,6066080,1232.975292,TRUE
"35","Benin","Africa",2002,54.406,7026113,1372.877931,TRUE
"36","Benin","Africa",2007,56.728,8078314,1441.284873,TRUE
"37","Botswana","Africa",1952,47.622,442308,851.2411407,TRUE
"38","Botswana","Africa",1957,49.618,474639,918.2325349,TRUE
"39","Botswana","Africa",1962,51.52,512764,983.6539764,TRUE
"40","Botswana","Africa",1967,53.298,553541,1214.709294,TRUE
"41","Botswana","Africa",1972,56.024,619351,2263.611114,TRUE
"42","Botswana","Africa",1977,59.319,781472,3214.857818,TRUE
"43","Botswana","Africa",1982,61.484,970347,4551.14215,TRUE
"44","Botswana","Africa",1987,63.622,1151184,6205.88385,TRUE
"45","Botswana","Africa",1992,62.745,1342614,7954.111645,TRUE
"46","Botswana","Africa",1997,52.556,1536536,8647.142313,TRUE
"47","Botswana","Africa",2002,46.634,1630347,11003.60508,TRUE
"48","Botswana","Africa",2007,50.728,1639131,12569.85177,TRUE
"49","Burkina Faso","Africa",1952,31.975,4469979,543.2552413,TRUE
"50","Burkina Faso","Africa",1957,34.906,4713416,617.1834648,TRUE
"51","Burkina Faso","Africa",1962,37.814,4919632,722.5120206,TRUE
"52","Burkina Faso","Africa",1967,40.697,5127935,794.8265597,TRUE
"53","Burkina Faso","Africa",1972,43.591,5433886,854.7359763,TRUE
"54","Burkina Faso","Africa",1977,46.137,5889574,743.3870368,TRUE
"55","Burkina Faso","Africa",1982,48.122,6634596,807.1985855,TRUE
"56","Burkina Faso","Africa",1987,49.557,7586551,912.0631417,TRUE
"57","Burkina Faso","Africa",1992,50.26,8878303,931.7527731,TRUE
"58","Burkina Faso","Africa",1997,50.324,10352843,946.2949618,TRUE
"59","Burkina Faso","Africa",2002,50.65,12251209,1037.645221,TRUE
"60","Burkina Faso","Africa",2007,52.295,14326203,1217.032994,TRUE
"61","Burundi","Africa",1952,39.031,2445618,339.2964587,TRUE
"62","Burundi","Africa",1957,40.533,2667518,379.5646281,TRUE
"63","Burundi","Africa",1962,42.045,2961915,355.2032273,TRUE
"64","Burundi","Africa",1967,43.548,3330989,412.9775136,TRUE
"65","Burundi","Africa",1972,44.057,3529983,464.0995039,TRUE
"66","Burundi","Africa",1977,45.91,3834415,556.1032651,TRUE
"67","Burundi","Africa",1982,47.471,4580410,559.603231,TRUE
"68","Burundi","Africa",1987,48.211,5126023,621.8188189,TRUE
"69","Burundi","Africa",1992,44.736,5809236,631.6998778,TRUE
"70","Burundi","Africa",1997,45.326,6121610,463.1151478,TRUE
"71","Burundi","Africa",2002,47.36,7021078,446.4035126,TRUE
"72","Burundi","Africa",2007,49.58,8390505,430.0706916,TRUE
"73","Cameroon","Africa",1952,38.523,5009067,1172.667655,TRUE
"74","Cameroon","Africa",1957,40.428,5359923,1313.048099,TRUE
"75","Cameroon","Africa",1962,42.643,5793633,1399.607441,TRUE
"76","Cameroon","Africa",1967,44.799,6335506,1508.453148,TRUE
"77","Cameroon","Africa",1972,47.049,7021028,1684.146528,TRUE
"78","Cameroon","Africa",1977,49.355,7959865,1783.432873,TRUE
"79","Cameroon","Africa",1982,52.961,9250831,2367.983282,TRUE
"80","Cameroon","Africa",1987,54.985,10780667,2602.664206,TRUE
"81","Cameroon","Africa",1992,54.314,12467171,1793.163278,TRUE
"82","Cameroon","Africa",1997,52.199,14195809,1694.337469,TRUE
"83","Cameroon","Africa",2002,49.856,15929988,1934.011449,TRUE
"84","Cameroon","Africa",2007,50.43,17696293,2042.09524,TRUE
"85","Central African Republic","Africa",1952,35.463,1291695,1071.310713,TRUE
"86","Central African Republic","Africa",1957,37.464,1392284,1190.844328,TRUE
"87","Central African Republic","Africa",1962,39.475,1523478,1193.068753,TRUE
"88","Central African Republic","Africa",1967,41.478,1733638,1136.056615,TRUE
"89","Central African Republic","Africa",1972,43.457,1927260,1070.013275,TRUE
"90","Central African Republic","Africa",1977,46.775,2167533,1109.374338,TRUE
"91","Central African Republic","Africa",1982,48.295,2476971,956.7529907,TRUE
"92","Central African Republic","Africa",1987,50.485,2840009,844.8763504,TRUE
"93","Central African Republic","Africa",1992,49.396,3265124,747.9055252,TRUE
"94","Central African Republic","Africa",1997,46.066,3696513,740.5063317,TRUE
"95","Central African Republic","Africa",2002,43.308,4048013,738.6906068,TRUE
"96","Central African Republic","Africa",2007,44.741,4369038,706.016537,TRUE
"97","Chad","Africa",1952,38.092,2682462,1178.665927,TRUE
"98","Chad","Africa",1957,39.881,2894855,1308.495577,TRUE
"99","Chad","Africa",1962,41.716,3150417,1389.817618,TRUE
"100","Chad","Africa",1967,43.601,3495967,1196.810565,TRUE
"101","Chad","Africa",1972,45.569,3899068,1104.103987,TRUE
"102","Chad","Africa",1977,47.383,4388260,1133.98495,TRUE
"103","Chad","Africa",1982,49.517,4875118,797.9081006,TRUE
"104","Chad","Africa",1987,51.051,5498955,952.386129,TRUE
"105","Chad","Africa",1992,51.724,6429417,1058.0643,TRUE
"106","Chad","Africa",1997,51.573,7562011,1004.961353,TRUE
"107","Chad","Africa",2002,50.525,8835739,1156.18186,TRUE
"108","Chad","Africa",2007,50.651,10238807,1704.063724,TRUE
"109","Comoros","Africa",1952,40.715,153936,1102.990936,TRUE
"110","Comoros","Africa",1957,42.46,170928,1211.148548,TRUE
"111","Comoros","Africa",1962,44.467,191689,1406.648278,TRUE
"112","Comoros","Africa",1967,46.472,217378,1876.029643,TRUE
"113","Comoros","Africa",1972,48.944,250027,1937.577675,TRUE
"114","Comoros","Africa",1977,50.939,304739,1172.603047,TRUE
"115","Comoros","Africa",1982,52.933,348643,1267.100083,TRUE
"116","Comoros","Africa",1987,54.926,395114,1315.980812,TRUE
"117","Comoros","Africa",1992,57.939,454429,1246.90737,TRUE
"118","Comoros","Africa",1997,60.66,527982,1173.618235,TRUE
"119","Comoros","Africa",2002,62.974,614382,1075.811558,TRUE
"120","Comoros","Africa",2007,65.152,710960,986.1478792,TRUE
"121","Congo, Dem. Rep.","Africa",1952,39.143,14100005,780.5423257,TRUE
"122","Congo, Dem. Rep.","Africa",1957,40.652,15577932,905.8602303,TRUE
"123","Congo, Dem. Rep.","Africa",1962,42.122,17486434,896.3146335,TRUE
"124","Congo, Dem. Rep.","Africa",1967,44.056,19941073,861.5932424,TRUE
"125","Congo, Dem. Rep.","Africa",1972,45.989,23007669,904.8960685,TRUE
"126","Congo, Dem. Rep.","Africa",1977,47.804,26480870,795.757282,TRUE
"127","Congo, Dem. Rep.","Africa",1982,47.784,30646495,673.7478181,TRUE
"128","Congo, Dem. Rep.","Africa",1987,47.412,35481645,672.774812,TRUE
"129","Congo, Dem. Rep.","Africa",1992,45.548,41672143,457.7191807,TRUE
"130","Congo, Dem. Rep.","Africa",1997,42.587,47798986,312.188423,TRUE
"131","Congo, Dem. Rep.","Africa",2002,44.966,55379852,241.1658765,TRUE
"132","Congo, Dem. Rep.","Africa",2007,46.462,64606759,277.5518587,TRUE
"133","Congo, Rep.","Africa",1952,42.111,854885,2125.621418,TRUE
"134","Congo, Rep.","Africa",1957,45.053,940458,2315.056572,TRUE
"135","Congo, Rep.","Africa",1962,48.435,1047924,2464.783157,TRUE
"136","Congo, Rep.","Africa",1967,52.04,1179760,2677.939642,TRUE
"137","Congo, Rep.","Africa",1972,54.907,1340458,3213.152683,TRUE
"138","Congo, Rep.","Africa",1977,55.625,1536769,3259.178978,TRUE
"139","Congo, Rep.","Africa",1982,56.695,1774735,4879.507522,TRUE
"140","Congo, Rep.","Africa",1987,57.47,2064095,4201.194937,TRUE
"141","Congo, Rep.","Africa",1992,56.433,2409073,4016.239529,TRUE
"142","Congo, Rep.","Africa",1997,52.962,2800947,3484.164376,TRUE
"143","Congo, Rep.","Africa",2002,52.97,3328795,3484.06197,TRUE
"144","Congo, Rep.","Africa",2007,55.322,3800610,3632.557798,TRUE
"145","Cote d'Ivoire","Africa",1952,40.477,2977019,1388.594732,TRUE
"146","Cote d'Ivoire","Africa",1957,42.469,3300000,1500.895925,TRUE
"147","Cote d'Ivoire","Africa",1962,44.93,3832408,1728.869428,TRUE
"148","Cote d'Ivoire","Africa",1967,47.35,4744870,2052.050473,TRUE
"149","Cote d'Ivoire","Africa",1972,49.801,6071696,2378.201111,TRUE
"150","Cote d'Ivoire","Africa",1977,52.374,7459574,2517.736547,TRUE
"151","Cote d'Ivoire","Africa",1982,53.983,9025951,2602.710169,TRUE
"152","Cote d'Ivoire","Africa",1987,54.655,10761098,2156.956069,TRUE
"153","Cote d'Ivoire","Africa",1992,52.044,12772596,1648.073791,TRUE
"154","Cote d'Ivoire","Africa",1997,47.991,14625967,1786.265407,TRUE
"155","Cote d'Ivoire","Africa",2002,46.832,16252726,1648.800823,TRUE
"156","Cote d'Ivoire","Africa",2007,48.328,18013409,1544.750112,TRUE
"157","Djibouti","Africa",1952,34.812,63149,2669.529475,TRUE
"158","Djibouti","Africa",1957,37.328,71851,2864.969076,TRUE
"159","Djibouti","Africa",1962,39.693,89898,3020.989263,TRUE
"160","Djibouti","Africa",1967,42.074,127617,3020.050513,TRUE
"161","Djibouti","Africa",1972,44.366,178848,3694.212352,TRUE
"162","Djibouti","Africa",1977,46.519,228694,3081.761022,TRUE
"163","Djibouti","Africa",1982,48.812,305991,2879.468067,TRUE
"164","Djibouti","Africa",1987,50.04,311025,2880.102568,TRUE
"165","Djibouti","Africa",1992,51.604,384156,2377.156192,TRUE
"166","Djibouti","Africa",1997,53.157,417908,1895.016984,TRUE
"167","Djibouti","Africa",2002,53.373,447416,1908.260867,TRUE
"168","Djibouti","Africa",2007,54.791,496374,2082.481567,TRUE
"169","Egypt","Africa",1952,41.893,22223309,1418.822445,TRUE
"170","Egypt","Africa",1957,44.444,25009741,1458.915272,TRUE
"171","Egypt","Africa",1962,46.992,28173309,1693.335853,TRUE
"172","Egypt","Africa",1967,49.293,31681188,1814.880728,TRUE
"173","Egypt","Africa",1972,51.137,34807417,2024.008147,TRUE
"174","Egypt","Africa",1977,53.319,38783863,2785.493582,TRUE
"175","Egypt","Africa",1982,56.006,45681811,3503.729636,TRUE
"176","Egypt","Africa",1987,59.797,52799062,3885.46071,TRUE
"177","Egypt","Africa",1992,63.674,59402198,3794.755195,TRUE
"178","Egypt","Africa",1997,67.217,66134291,4173.181797,TRUE
"179","Egypt","Africa",2002,69.806,73312559,4754.604414,TRUE
"180","Egypt","Africa",2007,71.338,80264543,5581.180998,TRUE
"181","Equatorial Guinea","Africa",1952,34.482,216964,375.6431231,TRUE
"182","Equatorial Guinea","Africa",1957,35.983,232922,426.0964081,TRUE
"183","Equatorial Guinea","Africa",1962,37.485,249220,582.8419714,TRUE
"184","Equatorial Guinea","Africa",1967,38.987,259864,915.5960025,TRUE
"185","Equatorial Guinea","Africa",1972,40.516,277603,672.4122571,TRUE
"186","Equatorial Guinea","Africa",1977,42.024,192675,958.5668124,TRUE
"187","Equatorial Guinea","Africa",1982,43.662,285483,927.8253427,TRUE
"188","Equatorial Guinea","Africa",1987,45.664,341244,966.8968149,TRUE
"189","Equatorial Guinea","Africa",1992,47.545,387838,1132.055034,TRUE
"190","Equatorial Guinea","Africa",1997,48.245,439971,2814.480755,TRUE
"191","Equatorial Guinea","Africa",2002,49.348,495627,7703.4959,TRUE
"192","Equatorial Guinea","Africa",2007,51.579,551201,12154.08975,TRUE
"193","Eritrea","Africa",1952,35.928,1438760,328.9405571,TRUE
"194","Eritrea","Africa",1957,38.047,1542611,344.1618859,TRUE
"195","Eritrea","Africa",1962,40.158,1666618,380.9958433,TRUE
"196","Eritrea","Africa",1967,42.189,1820319,468.7949699,TRUE
"197","Eritrea","Africa",1972,44.142,2260187,514.3242082,TRUE
"198","Eritrea","Africa",1977,44.535,2512642,505.7538077,TRUE
"199","Eritrea","Africa",1982,43.89,2637297,524.8758493,TRUE
"200","Eritrea","Africa",1987,46.453,2915959,521.1341333,TRUE
"201","Eritrea","Africa",1992,49.991,3668440,582.8585102,TRUE
