"","country","continent","year","lifeExp","pop","gdpPercap","named"
"1","Argentina","Americas",1952,62.485,17876956,5911.315053,TRUE
"2","Argentina","Americas",1957,64.399,19610538,6856.856212,TRUE
"3","Argentina","Americas",1962,65.142,21283783,7133.166023,TRUE
"4","Argentina","Americas",1967,65.634,22934225,8052.953021,TRUE
"5","Argentina","Americas",1972,67.065,24779799,9443.038526,TRUE
"6","Argentina","Americas",1977,68.481,26983828,10079.02674,TRUE
"7","Argentina","Americas",1982,69.942,29341374,8997.897412,TRUE
"8","Argentina","Americas",1987,70.774,31620918,9139.671389,TRUE
"9","Argentina","Americas",1992,71.868,33958947,9308.41871,TRUE
"10","Argentina","Americas",1997,73.275,36203463,10967.28195,TRUE
"11","Argentina","Americas",2002,74.34,38331121,8797.640716,TRUE
"12","Argentina","Americas",2007,75.32,40301927,12779.37964,TRUE
"13","Bolivia","Americas",1952,40.414,2883315,2677.326347,TRUE
"14","Bolivia","Americas",1957,41.89,3211738,2127.686326,TRUE
"15","Bolivia","Americas",1962,43.428,3593918,2180.972546,TRUE
"16","Bolivia","Americas",1967,45.032,4040665,2586.886053,TRUE
"17","Bolivia","Americas",1972,46.714,4565872,2980.331339,TRUE
"18","Bolivia","Americas",1977,50.023,5079716,3548.097832,TRUE
"19","Bolivia","Americas",1982,53.859,5642224,3156.510452,TRUE
"20","Bolivia","Americas",1987,57.251,6156369,2753.69149,TRUE
"21","Bolivia","Americas",1992,59.957,6893451,2961.699694,TRUE
"22","Bolivia","Americas",1997,62.05,7693188,3326.143191,TRUE
"23","Bolivia","Americas",2002,63.883,8445134,3413.26269,TRUE
"24","Bolivia","Americas",2007,65.554,9119152,3822.137084,TRUE
"25","Brazil","Americas",1952,50.917,56602560,2108.944355,TRUE
"26","Brazil","Americas",1957,53.285,65551171,2487.365989,TRUE
"27","Brazil","Americas",1962,55.665,76039390,3336.585802,TRUE
"28","Brazil","Americas",1967,57.632,88049823,3429.864357,TRUE
"29","Brazil","Americas",1972,59.504,100840058,4985.711467,TRUE
"30","Brazil","Americas",1977,61.489,114313951,6660.118654,TRUE
"31","Brazil","Americas",1982,63.336,128962939,7030.835878,TRUE
"32","Brazil","Americas",1987,65.205,142938076,7807.095818,TRUE
"33","Brazil","Americas",1992,67.057,155975974,6950.283021,TRUE
"34","Brazil","Americas",1997,69.388,168546719,7957.980824,TRUE
"35","Brazil","Americas",2002,71.006,179914212,8131.212843,TRUE
"36","Brazil","Americas",2007,72.39,190010647,9065.800825,TRUE
"37","Canada","Americas",1952,68.75,14785584,11367.16112,TRUE
"38","Canada","Americas",1957,69.96,17010154,12489.95006,TRUE
"39","Canada","Americas",1962,71.3,18985849,13462.48555,TRUE
"40","Canada","Americas",1967,72.13,20819767,16076.58803,TRUE
"41","Canada","Americas",1972,72.88,22284500,18970.57086,TRUE
"42","Canada","Americas",1977,74.21,23796400,22090.88306,TRUE
"43","Canada","Americas",1982,75.76,25201900,22898.79214,TRUE
"44","Canada","Americas",1987,76.86,26549700,26626.51503,TRUE
"45","Canada","Americas",1992,77.95,28523502,26342.88426,TRUE
"46","Canada","Americas",1997,78.61,30305843,28954.92589,TRUE
"47","Canada","Americas",2002,79.77,31902268,33328.96507,TRUE
"48","Canada","Americas",2007,80.653,33390141,36319.23501,TRUE
"49","Chile","Americas",1952,54.745,6377619,3939.978789,TRUE
"50","Chile","Americas",1957,56.074,7048426,4315.622723,TRUE
"51","Chile","Americas",1962,57.924,7961258,4519.094331,TRUE
"52","Chile","Americas",1967,60.523,8858908,5106.654313,TRUE
"53","Chile","Americas",1972,63.441,9717524,5494.024437,TRUE
"54","Chile","Americas",1977,67.052,10599793,4756.763836,TRUE
"55","Chile","Americas",1982,70.565,11487112,5095.665738,TRUE
"56","Chile","Americas",1987,72.492,12463354,5547.063754,TRUE
"57","Chile","Americas",1992,74.126,13572994,7596.125964,TRUE
"58","Chile","Americas",1997,75.816,14599929,10118.05318,TRUE
"59","Chile","Americas",2002,77.86,15497046,10778.78385,TRUE
"60","Chile","Americas",2007,78.553,16284741,13171.63885,TRUE
"61","Colombia","Americas",1952,50.643,12350771,2144.115096,TRUE
"62","Colombia","Americas",1957,55.118,14485993,2323.805581,TRUE
"63","Colombia","Americas",1962,57.863,17009885,2492.351109,TRUE
"64","Colombia","Americas",1967,59.963,19764027,2678.729839,TRUE
"65","Colombia","Americas",1972,61.623,22542890,3264.660041,TRUE
"66","Colombia","Americas",1977,63.837,25094412,3815.80787,TRUE
"67","Colombia","Americas",1982,66.653,27764644,4397.575659,TRUE
"68","Colombia","Americas",1987,67.768,30964245,4903.2191,TRUE
"69","Colombia","Americas",1992,68.421,34202721,5444.648617,TRUE
"70","Colombia","Americas",1997,70.313,37657830,6117.361746,TRUE
"71","Colombia","Americas",2002,71.682,41008227,5755.259962,TRUE
"72","Colombia","Americas",2007,72.889,44227550,7006.580419,TRUE
"73","Costa Rica","Americas",1952,57.206,926317,2627.009471,TRUE
"74","Costa Rica","Americas",1957,60.026,1112300,2990.010802,TRUE
"75","Costa Rica","Americas",1962,62.842,1345187,3460.937025,TRUE
"76","Costa Rica","Americas",1967,65.424,1588717,4161.727834,TRUE
"77","Costa Rica","Americas",1972,67.849,1834796,5118.146939,TRUE
"78","Costa Rica","Americas",1977,70.75,2108457,5926.876967,TRUE
"79","Costa Rica","Americas",1982,73.45,2424367,5262.734751,TRUE
"80","Costa Rica","Americas",1987,74.752,2799811,5629.915318,TRUE
"81","Costa Rica","Americas",1992,75.713,3173216,6160.416317,TRUE
"82","Costa Rica","Americas",1997,77.26,3518107,6677.045314,TRUE
"83","Costa Rica","Americas",2002,78.123,3834934,7723.447195,TRUE
"84","Costa Rica","Americas",2007,78.782,4133884,9645.06142,TRUE
"85","Cuba","Americas",1952,59.421,6007797,5586.53878,TRUE
"86","Cuba","Americas",1957,62.325,6640752,6092.174359,TRUE
"87","Cuba","Americas",1962,65.246,7254373,5180.75591,TRUE
"88","Cuba","Americas",1967,68.29,8139332,5690.268015,TRUE
