"","country","continent","year","lifeExp","pop","gdpPercap","named"
"1","Afghanistan","Asia",1952,28.801,8425333,779.4453145,TRUE
"2","Afghanistan","Asia",1957,30.332,9240934,820.8530296,TRUE
"3","Afghanistan","Asia",1962,31.997,10267083,853.10071,TRUE
"4","Afghanistan","Asia",1967,34.02,11537966,836.1971382,TRUE
"5","Afghanistan","Asia",1972,36.088,13079460,739.9811058,TRUE
"6","Afghanistan","Asia",1977,38.438,14880372,786.11336,TRUE
"7","Afghanistan","Asia",1982,39.854,12881816,978.0114388,TRUE
"8","Afghanistan","Asia",1987,40.822,13867957,852.3959448,TRUE
"9","Afghanistan","Asia",1992,41.674,16317921,649.3413952,TRUE
"10","Afghanistan","Asia",1997,41.763,22227415,635.341351,TRUE
"11","Afghanistan","Asia",2002,42.129,25268405,726.7340548,TRUE
"12","Afghanistan","Asia",2007,43.828,31889923,974.5803384,TRUE
"13","Bahrain","Asia",1952,50.939,120447,9867.084765,TRUE
"14","Bahrain","Asia",1957,53.832,138655,11635.79945,TRUE
"15","Bahrain","Asia",1962,56.923,171863,12753.27514,TRUE
"16","Bahrain","Asia",1967,59.923,202182,14804.6727,TRUE
"17","Bahrain","Asia",1972,63.3,230800,18268.65839,TRUE
"18","Bahrain","Asia",1977,65.593,297410,19340.10196,TRUE
"19","Bahrain","Asia",1982,69.052,377967,19211.14731,TRUE
"20","Bahrain","Asia",1987,70.75,454612,18524.02406,TRUE
"21","Bahrain","Asia",1992,72.601,529491,19035.57917,TRUE
"22","Bahrain","Asia",1997,73.925,598561,20292.01679,TRUE
"23","Bahrain","Asia",2002,74.795,656397,23403.55927,TRUE
"24","Bahrain","Asia",2007,75.635,708573,29796.04834,TRUE
"25","Bangladesh","Asia",1952,37.484,46886859,684.2441716,TRUE
"26","Bangladesh","Asia",1957,39.348,51365468,661.6374577,TRUE
"27","Bangladesh","Asia",1962,41.216,56839289,686.3415538,TRUE
"28","Bangladesh","Asia",1967,43.453,62821884,721.1860862,TRUE
"29","Bangladesh","Asia",1972,45.252,70759295,630.2336265,TRUE
"30","Bangladesh","Asia",1977,46.923,80428306,659.8772322,TRUE
"31","Bangladesh","Asia",1982,50.009,93074406,676.9818656,TRUE
"32","Bangladesh","Asia",1987,52.819,103764241,751.9794035,TRUE
"33","Bangladesh","Asia",1992,56.018,113704579,837.8101643,TRUE
"34","Bangladesh","Asia",1997,59.412,123315288,972.7700352,TRUE
"35","Bangladesh","Asia",2002,62.013,135656790,1136.39043,TRUE
"36","Bangladesh","Asia",2007,64.062,150448339,1391.253792,TRUE
"37","Cambodia","Asia",1952,39.417,4693836,368.4692856,TRUE
"38","Cambodia","Asia",1957,41.366,5322536,434.0383364,TRUE
"39","Cambodia","Asia",1962,43.415,6083619,496.9136476,TRUE
"40","Cambodia","Asia",1967,45.415,6960067,523.4323142,TRUE
"41","Cambodia","Asia",1972,40.317,7450606,421.6240257,TRUE
"42","Cambodia","Asia",1977,31.22,6978607,524.9721832,TRUE
