"","country","continent","year","lifeExp","pop","gdpPercap","named"
"1","Australia","Oceania",1952,69.12,8691212,10039.59564,TRUE
"2","Australia","Oceania",1957,70.33,9712569,10949.64959,TRUE
"3","Australia","Oceania",1962,70.93,10794968,12217.22686,TRUE
"4","Australia","Oceania",1967,71.1,11872264,14526.12465,TRUE
"5","Australia","Oceania",1972,71.93,13177000,16788.62948,TRUE
"6","Australia","Oceania",1977,73.49,14074100,18334.19751,TRUE
"7","Australia","Oceania",1982,74.74,15184200,19477.00928,TRUE
"8","Australia","Oceania",1987,76.32,16257249,21888.88903,TRUE
"9","Australia","Oceania",1992,77.56,17481977,23424.76683,TRUE
"10","Australia","Oceania",1997,78.83,18565243,26997.93657,TRUE
"11","Australia","Oceania",2002,80.37,19546792,30687.75473,TRUE
"12","Australia","Oceania",2007,81.235,20434176,34435.36744,TRUE
"13","New Zealand","Oceania",1952,69.39,1994794,10556.57566,TRUE
"14","New Zealand","Oceania",1957,70.26,2229407,12247.39532,TRUE
"15","New Zealand","Oceania",1962,71.24,2488550,13175.678,TRUE
"16","New Zealand","Oceania",1967,71.52,2728150,14463.91893,TRUE
"17","New Zealand","Oceania",1972,71.89,2929100,16046.03728,TRUE
"18","New Zealand","Oceania",1977,72.22,3164900,16233.7177,TRUE
"19","New Zealand","Oceania",1982,73.84,3210650,17632.4104,TRUE
"20","New Zealand","Oceania",1987,74.32,3317166,19007.19129,TRUE
"21","New Zealand","Oceania",1992,76.33,3437674,18363.32494,TRUE
"22","New Zealand","Oceania",1997,77.55,3676187,21050.41377,TRUE
"23","New Zealand","Oceania",2002,79.11,3908037,23189.80135,TRUE
"24","New Zealand","Oceania",2007,80.204,4115771,25185.00911,TRUE
